,0,1,2
0,5,tn,20
1,6,tamil,20
2,7,tamilnadu,20
3,7,tamilnadu,21
4,8,map,20
5,8,map,21
6,9,indiamap,21
7,28,ipl2020,4
8,28,ipl2020,10
9,28,ipl2020,14
10,28,ipl2020,15
11,29,dcvsmi,4
12,30,ipl2020final,4
13,31,csk,10
14,32,ipl,10
15,32,ipl,14
16,32,ipl,15
17,33,bike,12
18,34,bikeride,12
19,35,automobiles,12
20,36,vechicles,12
21,37,mivsdc,14
22,38,rohit,14
23,38,rohit,22
24,39,shreyas,14
25,40,supportdc,15
26,41,car,16
27,42,vechicle,16
28,43,carride,16
29,44,nature,16
30,45,carluver,16
31,46,mi,22
32,47,mumbai,22
33,48,csk1,23
